model,resolution,bit_rate
V1901A,1544x720,6144
HLK-AL00,2340x1080,15360
V1818A,1520x720,6144
PBAM00,1520x720,6144
PDBM00,1600x720,6144
M2012K11AC,2400x1080,15360
V2055A,2400x1080,15360
PBBM30,1520x720,6144
M2006C3LC,1600x720,6144
V1818CA,1520x720,6144
SEA-AL10,2340x1080,15360
PCAM10,2340x1080,15360
PDVM00,1600x720,6144
V1930A,1544x720,6144
PCHM10,1600x720,6144
V1981A,2408x1080,15360
PDYM20,2400x1080,15360
PBAT00,1520x720,6144
BND-AL10,2160x1080,15360
ATU-AL10,1440x720,6144
V2002A,2340x1080,15360
V1934A,2340x1080,15360
V1813A,2280x1080,15360
STK-AL00,2340x1080,15360
M2104K10AC,2400x1080,15360
V1928A,1544x720,6144
M2006J10C,2400x1080,15360
TAS-AN00,2340x1080,15360
JSN-AL00a,2340x1080,15360
DUB-AL00,1520x720,6144
PEHM00,2400x1080,15360
YAL-AL00,2340x1080,15360
V1732A,1520x720,6144
LND-AL30,1440x720,6144
V2049A,2400x1080,15360
M2102J2SC,2340x1080,15360
M2012K11C,3200x1440,30720
M2007J17C,2400x1080,15360
ASK-AL00x,1560x720,6144
PCT-AL10,2310x1080,15360
PCAM00,2340x1080,15360
JAT-AL00,1560x720,6144
PEGM10,2400x1080,15360
PBFM00,1520x720,6144
M2007J22C,2340x1080,15360
GLK-AL00,2310x1080,15360
CDY-AN00,2400x1080,15360
21121210C,2400x1080,15360
PFFM10,3216x1440,30720
